year,population,kinneret_level_m,tot_water_produced_million_m3,tot_water_produced_without_desalination_million_m3,tot_water_produced_without_water_reuse_million_m3,tot_water_produced_without_water_reuse_and_desalination_million_m3,total_produced_by_wells_milion_m3,produced_by_kinneret_milion_m3,total_produced_by_upper_water_milion_m3,produced_by_effluents_milion_m3,water_desalination_mcm,ashdod_mcm/y,sorek_mcm/y,hadera_mcm/y,palmachim_mcm/y,ashkelon_mcm/y,total_water_consumed_milion_m3,domestic_milion_m3,industrial_milion_m3,agricultural_milion_m3,water_for_the_environment_milion_m3,other_suppliers,average_maximum_temperatue,average_minimum_temperatue,mean_annual_temperature,annual_total_wet-day_precipitation_mm,extremely_wet_days_mm,simple_daily_intensity_index_mm/day,drought_index,water_tarif_for_citizens_nis,desalinated_water_cost_for_goverment_nis,water_tarif_to_desalination_plants_nis,tarif_domestic_use_initial_cubic_meter_nis/m3,tarif_domestic_use_additional_cubic_meter_nis/m3,tarif_agricultural_use_treated_waternis/m3,tarif_agricultural_use_saline_waternis/m3,tarif_industrial_use_initial_ratenis/m3,tarif_public_gardening_base_ratenis/m3,tarif__public_gardening_excess_ratenis/m3,electricity_price_nis/kwh,energy_consumed_for_production_desalinated_water_kwh_fixed_price_per_m3,energy_used_per_desalinated_water_kwh,total_t.o.e._electricty_consumed,total_electricity_consumed_in_israel_kwh,grid_dependency_of_water_sector_%,backup_/_renewable_energy_fraction_%,conflict_disruption_%_supply_lost,conflict_scenario_flag_y/n,population_displacement_persons_or_%,conflict_severity_index_0-3,conflict_start_year_yyyy,conflict_duration_years,cyber_attack_downtime_days/year_or_%_time,cybersecurity_scenario_flag_y/n,cyber_incident_frequency_incidents/year,cyber_threat_level_index_0-3,attack_attempt_frequency_attempts/year,attack_success_probability_%,"household_income_low-income,_nis/year",affordability_threshold_%_income,new_desal_capacity_m³/day_or_mcm/year,commissioning_year_yyyy,plant_location_/_region_id,scenario_crisis_combination_label,supply_reliability_%,resilience_index_dimensionless,shortfall_severity_mcm_or_%_demand,mean_recovery_time_days,impairment_of_functional_continuity,intrusion_into_computer_systems,weaknesses_in_a_computer_system,water_produced_by_desalination_mcm,total_water_produced_by_wells_mcm,total_water_produced_by_kinneret_mcm,total_water_produced_by_effluents_mcm,domestic_consumption_mcm,industrial_water_consumption_mcm,agricultural_water_consumption_mcm,water_for_environment_mcm,other_supplier_mcm,total_supply,total_demand,supply_gap,reliability_percent,wsi,ddr
1959,2088700.0,,,,,,,,,,,,,,,,1274.0,192.0,50.0,1087.0,,,25.19,13.43,19.31,350.4,8.6,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.0,50.0,1087.0,,,,1274.0,,,,
1960,2150400.0,,,,,,,,,,,,,,,,1230.0,187.0,50.0,1087.0,,,27.08,14.91,21.0,263.5,17.9,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.0,50.0,1087.0,,,,1230.0,,,,
1961,2234200.0,,,,,,,,,,,,,,,,1338.0,201.0,50.0,1087.0,,,25.57,13.89,19.73,432.3,16.1,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.0,50.0,1087.0,,,,1338.0,,,,
1962,2331800.0,,,,,,,,,,,,,,,,1287.0,190.0,50.0,1047.0,,,26.88,14.77,20.82,424.2,47.7,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.0,50.0,1047.0,,,,1287.0,,,,
1963,2430100.0,,,,,,,,,,,,,,,,1373.0,179.0,50.0,1144.0,,,26.49,14.69,20.59,306.3,11.6,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.0,50.0,1144.0,,,,1373.0,,,,
1964,2525600.0,,,,,,,,,,,,,,,,1288.0,200.0,50.0,1038.0,,,25.16,13.4,19.28,580.7,52.2,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,50.0,1038.0,,,,1288.0,,,,
1965,2598400.0,,1393.0,,,,,,,,,,,,,,1329.0,199.0,55.0,1075.0,,,25.81,13.94,19.88,570.1,77.8,12.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.0,55.0,1075.0,,,1393.0,1329.0,64.0,100.0,,
1966,2657400.0,-210.36583333333337,,,,,,,,,,,,,,,1418.0,210.0,55.0,1153.0,,,26.55,14.5,20.52,339.1,12.8,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.0,55.0,1153.0,,,,1418.0,,,,
1967,2776300.0,-209.1946666666667,,,,,,,,,,,,,,,1474.0,216.0,55.0,1203.0,,,24.72,13.48,19.1,597.5,41.2,11.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.0,55.0,1203.0,,,,1474.0,,,,
1968,2841100.0,-209.30018518518517,,,,,,,,,,,,,,,1411.0,223.0,55.0,1133.0,,,25.61,14.22,19.91,446.4,13.5,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.0,55.0,1133.0,,,,1411.0,,,,
